in-rho_O,in-rho_O2,in-Th,in-Tv,in-t,out-Y_O,out-Y_O2,out-Th,out-Tv
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,1.3530878712E-11,9.4045109984E-02,9.0595489002E-01,3.1862498920E+03,1.0721152640E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,1.3766187499E-11,9.4045109953E-02,9.0595489005E-01,3.1862488520E+03,1.0721194647E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,1.4003849374E-11,9.4045109923E-02,9.0595489008E-01,3.1862478016E+03,1.0721237075E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,1.4243887868E-11,9.4045109891E-02,9.0595489011E-01,3.1862467407E+03,1.0721279926E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,1.4486326747E-11,9.4045109860E-02,9.0595489014E-01,3.1862456692E+03,1.0721323206E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,1.4731190014E-11,9.4045109828E-02,9.0595489017E-01,3.1862445870E+03,1.0721366918E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,1.4978501914E-11,9.4045109796E-02,9.0595489020E-01,3.1862434940E+03,1.0721411068E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,1.5228286933E-11,9.4045109763E-02,9.0595489024E-01,3.1862423900E+03,1.0721455658E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,1.5480569803E-11,9.4045109730E-02,9.0595489027E-01,3.1862412750E+03,1.0721500694E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,1.5735375501E-11,9.4045109697E-02,9.0595489030E-01,3.1862401488E+03,1.0721546180E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,1.5992729256E-11,9.4045109664E-02,9.0595489034E-01,3.1862390114E+03,1.0721592121E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,1.6252656548E-11,9.4045109629E-02,9.0595489037E-01,3.1862378626E+03,1.0721638521E+03
